Session ID,Course Code,Course Name,Instructor,Session Type,Day,Time Block,Room
SES_0145,MTH103,Mathematics,Dr. Wael,Lecture,Thursday,"09:00-11:30 (Slot 1, Slot 2, Slot 3)",CR-3
SES_0126,STA201,Introduction to Statistics,T.A Ahmed Ibrahim,Section,Thursday,09:00-09:50 (Slot 1),CR-4
SES_0121,ECO101,Introduction to Microeconomics,T.A Shrouk,Section,Thursday,09:00-09:50 (Slot 1),CR-8
SES_0084,BUA302,Marketing Analytics,T.A Abdelrahman,Lab,Thursday,"09:00-10:40 (Slot 1, Slot 2)",LAB-1
SES_0030,MKI403,Customer Analytics,T.A Nouran,Lab,Thursday,"09:00-10:40 (Slot 1, Slot 2)",LAB-2
SES_0032,BUA310,Data Science for Social Science,T.A Mona,Lab,Thursday,"09:00-10:40 (Slot 1, Slot 2)",LAB-3
SES_0012,COS422,Blockchain and Crypto Assets,T.A Nada,Lab,Thursday,"09:00-10:40 (Slot 1, Slot 2)",LAB-4
SES_0048,IST101,Information System 1,T.A Asmaa,Lab,Thursday,"09:00-10:40 (Slot 1, Slot 2)",LAB-5
SES_0133,DBF407,Graduation Project 2,Dr. Engy,Lecture,Thursday,"09:00-11:30 (Slot 1, Slot 2, Slot 3)",LH-3
SES_0119,FIN411,Financial Modeling and Valuation,Dr. Ehab,Lecture,Thursday,"09:00-11:30 (Slot 1, Slot 2, Slot 3)",LH-4
SES_0139,DBF301,Principles of Digital Banking and Fintech,T.A Idwa,Section,Thursday,09:50-10:40 (Slot 2),CR-15
SES_0108,ACC424,Information System Audit,Nouf,Section,Thursday,09:50-10:40 (Slot 2),CR-16
SES_0137,MTH103,Mathematics,T.A Ahmed Ibrahim,Section,Thursday,09:50-10:40 (Slot 2),CR-7
SES_0138,MTH101,Mathematics 1,T.A Ahmed Ibrahim,Section,Thursday,10:40-11:30 (Slot 3),CR-8
SES_0120,FIN314,Financial Risk Management,Dr. Ehab,Lecture,Thursday,"12:10-14:40 (Slot 4, Slot 5, Slot 6)",CR-16
SES_0106,ECO310,Econometrics,Dr. Engy,Lecture,Thursday,"12:10-14:40 (Slot 4, Slot 5, Slot 6)",CR-2
SES_0020,BUA409,Business Forecasting,T.A Nouran,Lab,Thursday,"12:10-13:50 (Slot 4, Slot 5)",LAB-1
SES_0079,COS102,Introduction to Programming,T.A Mona,Lab,Thursday,"12:10-13:50 (Slot 4, Slot 5)",LAB-2
SES_0033,BIT406,Data Security,T.A Nada,Lab,Thursday,"12:10-13:50 (Slot 4, Slot 5)",LAB-3
SES_0074,COS101,Introduction to Computer Science,T.A Asmaa,Lab,Thursday,"12:10-13:50 (Slot 4, Slot 5)",LAB-4
SES_0146,MTH101,Mathematics 1,Dr. Wael,Lecture,Thursday,"12:10-14:40 (Slot 4, Slot 5, Slot 6)",LH-2
